Comment,Sentiment,Emotion,Spam
These TED TALKS.. are worth watching in this time of pandemic.,positive,Joy,0
This presenter has a very warm and appealing voice and manner.,positive,Joy,0
"Well here’s the question: how can we have a good relationship with others? Some people are so lucky that they are born in a family full of love. For those who weren’t, Loving themselves and other people, creating a good relationship seem so much harder...",neutral,Sad,0
A young fisherman is singing to his kids while sitting on the dock. A business man comes by and sees a half empty bucket of fish. He goes to the fisher and says “why aren’t you fishing?” The young man says “I’ve fished enough to feed my family”. The business man says “you should fish more”. The young man says “for what?” The older man says “so you can buy a bigger boat and catch more fish”. The young fisher says “then what?”. The older man says “so you can have enough money to start a company” “then what?” Says the young man. “Then you can have enough money to have a huge business”. Again the young man says “then what?” The older man replies “then you can retire and enjoy life by the sea with your children” the young man says “what do you think I’m doing now?” And resumes his singing.,neutral,Neutral,-2
"To those who are saying they are alone and this video makes them sad, read this. Being alone and being lonely are two very different things. 

Alone: having no one else present; on one's own.",neutral,Neutral,-2
"The study: ""It turns out that people who are more socially connected [...] are happier, they're physically healthier and they live longer, than people who are less well connected.""

Me: Laughs in Introvert",positive,Neutral,-2
"Women in the audience are like""Why only men?""",negative,Anger,0
This study is a reminder that social connection is critical to our physical and emotional health. It's particularly important during this Covid-19 pandemic.,neutral,Neutral,-2
"This is so true. Here in Japan we have one of the highest suicide rates. We are working 24-7 to chasing money, we are on our phones and computers watching internet, there’s very little socializing and no real connection with anybody. Our society has become sick and lost.",neutral,Sad,0
"Money won't buy you happiness, but the lack of it can buy you misery.",neutral,Sad,0
"I don’t understand why we don’t learn about this in school. It’s just as important as everything else, if not more. (UPDATE: IT SEEMS LIKE YALL LEARN THIS IN SCHOOL. AWESOME. I LIVE IN SOUTH AFRICA AND WE DON'T LEARN THIS AT ALL. THANKS FOR THE ENGAGEMENT)",negative,Neutral,-2
i can attempt to save the world but I must first save myself.,neutral,Neutral,-2
"People give up so easily on one another these days. They want something that is always fun and exciting and never bother to invest time on people who really matter. If we just stuck by the people we cared about, were honest, loyal and good communicators, life would be better. Invest time in quality people and stop chasing superficiallty.",neutral,Sad,0
this guy has such a calming and gentle voice,positive,Joy,0
Still - Better off alone that in bad company,neutral,Sad,0
I want better relationships with people but my social anxiety is stopping me,neutral,Sad,0
" wow, that came suprising...now I will learn HOW to get those relations ? nah.... thats a study.. not a guide..",neutral,Neutral,-2
"I love that new comments keep adding to it actively. To know that people are listening to it, taking in the information and wisdom, some of us (like myself) keeps coming back to it too. This is such a simple life lesson and yet often so hard to learn. It's the people, not the materials, that truly counts.",positive,Joy,0
"Wow! This is why one should never rush into relationships. You don’t necessarily need to marry in your 20s or even 30s. Marry when you are actually ready and can fully devote yourself to that one person.
He is right, relationships do affect your health, physical and mental.",neutral,Neutral,-2
It's easy CNN just do your job and actually report... For those who are fearful of the rise of number just Google Covid-19 US. Look at the chart and the case to death ratio. It's lower.,neutral,Neutral,-2
This is not really baseless. Doctors have come out and said that people are taking advantage of the system by saying a person died who had COVID died because of it even if the reason they died was because of something else,neutral,Neutral,-2
Trump 2020  Best president in my lifetime of looking great people don’t pay attention to the fake news media all we have to do is vote,positive,Joy,0
"True they only allowed 250 ppl in the rally with social distance, but there were thousands of Trump supporters standing outside of the rally shoulder to shoulder even they can't get in. So what is the point of not letting them in...",neutral,Sad,0
"Did anyone hear about the American hostage saved in Niger 🇳🇪🤔 NO
How’s beau bergdahl doing 🤔",negative,Neutral,-2
"The entire system is based on a lie.
I don't believe lies
Voting is a lie and if you don't think so read and learn THE ACT OF 1871.
The news is a lie",negative,Anger,0
"GO AFTER THE CREATORS OF THE VIRUS, THE LAB, AND THE * PATENT * !!!",negative,Anger,0
That is true,neutral,Neutral,-2
President is trailing?🤣🤣🤣🤣🤣 lib please 🤣🤣🤣,positive,Joy,0
Liars...they have been social distancing and wearing masks at  EVERY rally!,negative,Anger,0
"If doctors are paid more, why hasn’t Trump done anything about it? If he cared, you’d think he’d do something more than whine about it.",negative,Anger,0
"Why isn't Biden wearing a mask?! He says everyone must wear a mask all the time even at home, and that if elected he's going to use force to make sure that happens. So why isn't he wearing one?",negative,Anger,0
Biden verbally provoked North Korea in the last presidential debate,negative,Anger,0
"Biden: I'm not going to shut down the economy, I'm going to shut down the virus!
Reporter: how do you plan to shut down the virus?
Biden: by shutting down the economy! 🤡",neutral,Joy,0
Its not a conspiracy..... Cdc said themselves the hospitals do get paid more as the influx of patients surge. So please fear monger more with false news. You know just the other mo the y'all said the president should follow the professionals but who is ignoring the professionals with the professional numbers and facts now. Oh wait CNN to meet their radical narritive. FYI I didn't vote for trump.,neutral,Neutral,-2
Not a snowball's chance in hell Biden!!,negative,Anger,0
The level of deceit from the trumps is astonishing. They will say absolutely ANY LIE NO MATTER HOW ABSURD. trump truly is the anti-christ if there is such a THING!,negative,Anger,0
"The cares act created a 20% premium/addon for covid-19 medicare patients. It's a straightforward, garden-variety pneumonia that a person is admitted to the hospital for – if they're Medicare – typically, the diagnosis-related group lump sum payment would be $5,000. But if it's COVID-19 pneumonia, then it's $13,000, and if that COVID-19 pneumonia patient ends up on a ventilator, it goes up to $39,000. Dont delete this CNN, thanks.",neutral,Anger,0
Plandemic,neutral,Neutral,-2
Good I Hope Trump Wins and Libs Cry Again 🤣,positive,Joy,0
"CNN is spreading lies. And the people know that the numbers have been wrong all along. Even when the my admit to the numbers being wrong and explain how they got those numbers, ignorant people and cnn ignore it",neutral,Anger,0
Trump/Pence 2020!!!!,positive,Sad,0
"""Unbais news source"" LMAO bunch of clowns",negative,Anger,0
Laura Ingraham is not as stupid as the viewers she's lying to.,negative,Anger,0
"I swear, CNN is so ignorant! Haha So only Trump spreads conspiracies? Hmm...interesting...",negative,Anger,0
"For France 24 and the people in it who despise America and for what it stands for, you are obsessed with who's gonna win...!! why is that...!! maybe you rather have this bully than the Chinese one...",negative,Anger,0
"Piers Morgan again trashed Trump on his dopey show Good Morning Britain. He said Trump called him and spoke with him for 30mins a few days ago. Then he proceeded to trash Trump. Weak. The UK won't extradite Christopher Steele. Boris, MI6, the BBC, Piers Morgan - they all want Trump and America to lose.",neutral,Neutral,-2
BBC is pro-Islamist,positive,Neutral,-2
"Fact check: There are a few other democracies that use an electoral college system to pick their president! But what sets the US apart from them is the president’s role. In many countries, the president is less important than the prime minister, or shares power with the prime minister, or is purely a figurehead. But in the US, the president holds all the executive power — they’re the head of government AND the head of state. And there are lots of other presidents like that around the world, but they’re almost always elected by popular vote or by a national legislature. No other democracy follows the US’s example of using an entirely separate body of “electors” to pick the country’s sole leader.",neutral,Neutral,-2
It’s like every 4years they have to explain this to us,neutral,Neutral,-2
"TIMES tomorrow ""YOU ARE FIRED""",negative,Anger,0
Twice in 20 years and only been three presidents in that time frame?.. I'd say that's high odds lol,neutral,Neutral,-2
The shocking thing for me is that voting is a choice in America. For us here in Australia voting is compulsory and you can be fined for not voting.,neutral,Neutral,-2
"And, if I am not mistaken, the electoral can still decide to vote differently than what the state's popular vote dictated. They may be fined, but it is a slap on the wrist kind of thing with not real consequence.",neutral,Sad,0
"“The electoral college is a disaster for a democracy.” – Donald J. Trump, November 6, 2012",neutral,Sad,0
"As an Indian, American elections have always seemed to be very complicated. Thanks to this video now I understand most of it. We follow the First Past the Post system. The whole country is divided into constituencies of almost same population & candidate with most votes wins a constituency. Finally the party with most such Constituency wins forms the govt.",neutral,Neutral,-2
Too complicated to elect a president democratically,negative,Sad,0
.....and yet they say that the Indian's marriage concept is confusing.,negative,Sad,0
i swear Americans complicate things too much that they don't even understand what they created.,negative,Anger,0
Presidential candidates: Your vote matters!,neutral,Joy,0
Do you all recall there was a time when we all wanted to go to USA and live the American dream? Yeah.... how the turn have tables,negative,Sad,0
"The thing I find interesting is how many people believe the US is a democracy. Though thought of as an idea for our government system ultimately they decided against it. Noting that several other governments who had used the system failed in the end. Therefore the founding fathers decided to go with a Representative Republic. So the US isn't really a democracy at all, it's a republic. Hence why we don't vote presidents in with popular vote and instead we use the Electoral College.",neutral,Neutral,-2
I like how people are not caring about the polls this year as much,neutral,Joy,0
The whole reason it exists is keep smaller states relevant in an election.,neutral,Neutral,-2
This is a terrible way to decide who becomes King of the Jungle,negative,Anger,0
"good arguments for changing to a popular vote - but understand that it’s “Winner takes it all” that’s the real culprit, and not the EC itself.",neutral,Neutral,-2
America is just built different,neutral,Neutral,-2
Every time i watch this video it makes me absolutely furious that America is incapable of being a democracy,negative,Anger,0
What I don’t understand is why electoral college votes aren’t distributed according to the percentage of votes for each candidate?,neutral,Neutral,-2
So your telling me that the election’s outcome is determined by the Florida Man? 😂,neutral,Joy,0
"I'm a Brazilian and don't know much about America's Election System, but what I think is more weird is the ""winner takes all"" rule, that simply ignore millions of people",neutral,Sad,0
"The electoral college is outdated. We no longer live in the 1700’s, we no longer count a black man as 3/8ths of a man, so why are we still utilising it... because it tends to benefits the corrupt, the  “tail wagging the dog”! Every citizens vote should count equally. This is the only way to create equality, which is supposedly what the US is all about.... in reality... not so much.",negative,Anger,0
Americans make things complicated...,negative,Anger,0
So this is why our votes don’t actually matter...,negative,Sad,0
Imagine if Trump wins the popular vote on election night and Biden wins the electoral college. That would be really awkward.,neutral,Joy,0
Popular vote should win the election.,neutral,Neutral,-2
"no wonder americans dont vote, if my country had a system like that, I wouldn't bother either.",negative,Sad,0
European laughs in democracy,positive,Joy,0
America is a mess.... - The rest of the World,negative,Anger,0
HONG KONG FOR BIDEN!! 💙💙💙💙💙💙💙,positive,Joy,0
Wow my vote really doesn’t count but it’s encouraged to go out and vote 😂 some kind of f*** up riddle if you ask me,negative,Joy,0
"""democracy""? Electoral colleges are weird.",negative,Anger,0
I always laugh to myself when someone says voting day is the one day every American is equal.,negative,Joy,0
Even if you think your vote won’t matter......STILL VOTE!!!!!,negative,Neutral,-2
I’ve always had a bad feeling about the electoral college when we were first introduced to it in high school. I just felt like a popular vote 🗳 makes more sense.,neutral,Neutral,-2
"The whole system is flawed, mob rule isnt always the best answer.",neutral,Sad,0
We need to REMOVE/UNDO the electoral college and totally go to regular voting for a truly democratic election process.,neutral,Neutral,-2
you can be elected as president with 21.9% of the popular vote... yea thats democracy...,negative,Neutral,-2
It's almost like some people having a reduced vote is preferable to some people having virtually no vote.,neutral,Neutral,-2
So basically the whole system is a design by terms of Inequality ... Some people have an advantage because of their skin color and others are advantages by geographical superiority  and then of coarse there's still the possibility where the whole thing is vulnerable to Corruption ..... Halarious !!!!,negative,Anger,0
Maryland wasn’t for or against slavery.,negative,Anger,0
"I'm not living in US, but I've learnt how this works four years ago. I was just shocked that Clinton was not elected President despite winning popular vote. It's not hard to understand how it works, but it's just against common sense to me.",neutral,Neutral,-2
"Ok so here's the question, how do we get rid of this ridiculous electoral college?!",negative,Neutral,-2
dEmOcrAcY.,negative,Neutral,-2
Press like if after watching you still ‘no comprendo’ 😐,neutral,Neutral,-2
They need to get rid of the electoral college vote.,negative,Neutral,-2
The electoral college legit makes the election play out like a weird strategy board game. That's fun and all for a board game but not for deciding the most powerful person in the country.,neutral,Sad,0
"If you do not understand how the Electoral College works, then you cannot possibly understand what is going on in this nation.",neutral,Neutral,-2
"hey friends! no new video today! i have 3 videos filmed that i just need to edit, i just haven’t had time to edit them this week with all my homework!!! i’ll get them up sometime next week as fun little bonus videos:)",neutral,Joy,0
"Thanks vox, this is a rigged and unfair system. How can a few citizens votes be more worth than others ?",negative,Anger,0
"I love how all of these election videos are sponsored by vodka, we’ll need it soon.",positive,Joy,0
Republicans wanna keep electoral college because it favors them. Democrats wanna remove it because it hinders them. So let’s find a middle ground and compromise.,neutral,Neutral,-2
Time really flies😂 I remember 4 years ago I was watching all these videos about explaining the elections,neutral,Joy,0
Racism is embedded into voting,neutral,Sad,0
"Elctoral college: removed 
Wyoming voter: Why bother? NY and LA will decide everything from now on.",negative,Anger,0
"""In america we do it a little diffrently""
What a underestimation.",negative,Joy,0
Presented by absolut vodka? 😂 make sense since voting is now like a drunken bar fight,negative,Joy,0
And that’s one of the million reasons why USA can’t be called a democracy,neutral,Sad,0
Popular voting is when the 3 wolves and one lamb vote on what to have for dinner.,neutral,Neutral,-2
Theres a reason we have it... a pure democracy has been described as 2 wolves and a lamb deciding whats for dinner.,neutral,Neutral,-2
There’s everyone else in the world then there is America...,neutral,Neutral,-2
Yep. thanks Absolut. Nothing like using your poor quality vodka to drown away our sorrows and forget about all the pain we've experienced and are yet to experience long after election day. Cheers!,negative,Joy,0
Gives us a video on basically how some people’s votes are worthless and then tells us to go vote 😂,negative,Joy,0
"If slaves could vote, the slavery wouldn't end. Muh democracy.",neutral,Anger,0
Abolish electoral college.,negative,Anger,0
"Remember, everywhere else the term for ""the popular vote"" is just ""THE VOTE"".",neutral,Neutral,-2
This is exactly why we need to educate our future generations about the electoral college. This was put into place to give the smaller states equal representation in our election process. It helps by not allowing a state like California to control the election with such a large population. This gives us checks and balances in our government.,neutral,Neutral,-2
😂 As a Russian this is fun to watch. Until I remember that I live in America now 😳,positive,Joy,0
"I am a citizen of Japan, and it is so incredibly well made.",positive,Joy,0
Everybody didn’t learn this in 4th grade like I did?,neutral,Sad,0
"somebody actually mentioned Vermont, I didn't know that was possible",neutral,Neutral,-2
"Every election, the losing party will want the electoral college done away with, while the winning party says it is a cornerstone of American democracy. Then 4 years later, the roles reverse when the party that lost originally now wins. It’s a never ending cycle",neutral,Sad,0
