,CONTENT,CLASS
0,"Huh, anyway check out this you[tube] channel: kobyoshi02",1
1,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!",1
2,just for test I have to say murdev.com,1
3,me shaking my sexy ass on my channel enjoy ^_^ ﻿,1
4,watch?v=vtaRGgvGtWQ   Check this out .﻿,1
5,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com",1
6,Subscribe to my channel ﻿,1
8,You should check my channel for Funny VIDEOS!!﻿,1
9,and u should.d check my channel and tell me what I should do next!﻿,1
10,Hey subscribe to me﻿,1
11, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1
12,https://twitter.com/GBphotographyGB﻿,1
13,subscribe like comment﻿,1
14,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,1
15,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿",1
17,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,1
18,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,1
19,"We are an EDM apparel company dedicated to bringing you music inspired  designs. Our clothing is perfect for any rave or music festival. We have  NEON crop tops, tank tops, t-shirts, v-necks and accessories! follow us on  Facebook or on instagraml for free giveaways news and more!! visit our site  at OnCueApparel﻿",1
21,subscribe to my channel people :D﻿,1
22,Show your AUBURN PRIDE HERE: http://www.teespring.com/tigermeathoodie﻿,1
24,CHECK OUT MY CHANNEL,1
25,marketglory . com/strategygame/andrijamatf earn real money from game,1
26,Hey guys! Im a 12 yr old music producer. I make chiptunes and 8bit music.  It would be wonderful if you checked out some of my 8bit remixes! I even  have a gangnamstyle 8bit remix if you would like to check that out ;)  Thanks!!,1
27,Check me out! I'm kyle. I rap so yeah ﻿,1
29,"Subscribe to me for free Android games, apps.. ﻿",1
30,everyone please come check our newest song in memories of Martin Luther  King Jr.﻿,1
32,sub my channel for no reason -_-﻿,1
33,"Check out my dubstep song ""Fireball"", made with Fruity Loops. I really took  time in it.  /watch?v=telOA6RIO8o﻿",1
36,Check my channel please! And listen to the best music ever :P﻿,1
37,SUB 4 SUB PLEASE LIKE THIS COMMENT I WANT A SUCCESFULL YOUTUBE SO PPLEASE LIKE THIS  COMMENT AND SUBSCRIBE IT ONLY TAKES 10 SECONDS PLEASE IF YOU SUBSCRIBE ILL  SUBSCRIBE BACK THANKS﻿,1
38," Hey everyone!! I have just started my first YT channel i would be grateful  if some of you peoples could check out my first clip in BF4! and give me  some advice on how my video was and how i could improve it. ALSO be sure to  go check out the about to see what Im all about. Thanks for your time :) .  and to haters... You Hate, I WIN﻿",1
39,"The projects After Effects, Music, Foto, Web sites and another you can find  and buy here  http://audiojungle.net/user/EugeneKalinin/portfolio?ref=EugeneKalinin﻿",1
40,YouTube/codytolleson for awesome videos I'll subscribe back ﻿,1
41,if you like roblox minecraft world of warcraft gta5 mario suscribe to my  channel﻿,1
42,SUBSCRIBE TO ME AND I'LL SUBSCRIBE TO YOU! (Must like - cZFcxsn0jnQ) ﻿,1
43,http://www.twitch.tv/jaroadc come follow and watch my stream!﻿,1
44,"if you like raw talent, raw lyrics, straight real hip hop Everyone check my newest sound  Dizzy X - Got the Juice (Prod by. Drugs the Model Citizen)   COMMENT TELL ME WHAT YOU THINK  DONT BE LAZY!!!!  - 1/7 Prophetz﻿",1
45,....subscribe......  ......to my........  .....channel.......﻿,1
47,http://www.avaaz.org/po/petition/Youtube_Corporation_Fox_Broadcasting_Company_Anular_os_strikes_no_Canal_Nostalgia/?cXPZpgb ﻿,1
50,Plz subscribe to my channel and I will subscribe back xx﻿,1
53,https://www.facebook.com/pages/Brew-Crew-2014/134470083389909 Like this  facebook-page! Chance to win an Iphone 5S!﻿,1
54,get GWAR to play 2015 superbowl  http://www.change.org/petitions/the-national-football-league-allow-gwar-to-perform-the-2015-super-bowl-halftime-show#share ﻿,1
55,Pls follow this channel!! http://www.twitch.tv/sevadus﻿,1
56,hi guys check my youtube channel﻿,1
57,Subscribe and like to me for more how to videos on minecraft!﻿,1
58,http://tankionline.com#friend=cd92db3f4 great game check it out!﻿,1
